race_id,nirenpuku_result,payout_nirenpuku_100
2820260119020006,4-5,160
2820260119020007,5-6,590
2820260119020008,2-7,730
2820260119020009,4-6,450
2820260119020010,1-2,3710
2820260119020011,2-4,540
2820260119020012,1-7,2870
4320260119020001,2-7,310
4320260119020002,3-5,3290
4320260119020003,1-7,620
4320260119020004,1-4,280
4320260119020005,4-7,150
4320260119020006,4-6,110
4320260119020007,3-4,3840
4320260119020008,2-7,130
4320260119020009,3-5,180
4320260119020010,1-3,1110
4320260119020011,2-4,1010
7320260120010001,2-7,270
7320260120010002,3-5,760
7320260120010003,1-7,820
7320260120010004,1-3,130
7320260120010005,4-5,2620
7320260120010006,6-7,10420
7320260120010007,1-2,730
8420260118030001,2-6,810
8420260118030002,1-7,430
8420260118030003,1-2,3620
2220260119030001,2-4,150
2220260119030002,2-4,1100
2220260119030003,4-6,250
2820260119030001,1-6,910
2820260119030002,5-7,2290
2820260119030003,3-6,740
2820260119030004,3-5,920
2820260119030005,1-3,460
2820260119030006,1-6,4400
2820260119030007,1-7,490
2820260119030008,2-7,1340
2820260119030009,1-2,1290
2820260119030010,3-7,980
2820260119030011,4-5,7180
2820260119030012,1-5,4420
3120260121010001,2-5,700
3120260121010002,1-5,200
3120260121010003,1-5,360
4320260119030001,2-6,12910
4320260119030002,4-7,1810
4320260119030003,3-6,1190
4320260119030004,3-5,460
4320260119030005,5-6,420
4320260119030006,4-6,280
4320260119030007,2-4,250
4320260119030008,1-6,1050
4320260119030009,2-3,690
4320260119030010,1-2,13680
4320260119030011,2-7,210
6220260121010001,1-2,770
6220260121010002,4-5,2310
6220260121010003,1-5,140
6220260121010004,1-5,100
6220260121010005,1-2,1280
6220260121010006,3-5,100
6220260121010007,1-5,140
6220260121010008,1-5,140
6220260121010009,1-2,1780
6220260121010010,1-5,210
6220260121010011,2-5,100
6220260121010012,2-4,420
7320260120020001,1-3,340
7320260120020002,3-5,700
7320260120020003,1-2,1270
7320260120020004,3-7,3530
7320260120020005,1-3,600
7320260120020006,4-7,1140
7320260120020007,3-7,1960
1320260122010001,4-5,13120
1320260122010002,4-9,1770
1320260122010003,2-4,2710
1320260122010004,1-7,190
1320260122010005,5-7,1840
1320260122010006,5-8,3210
1320260122010007,1-7,180
1320260122010008,1-7,1070
1320260122010009,2-3,1250
1320260122010010,2-9,1100
1320260122010011,2-9,200
1320260122010012,4-5,3400
2620260122010001,1-5,160
2620260122010002,2-3,240
2620260122010003,1-3,230
2620260122010004,1-7,140
2620260122010005,2-7,1840
2620260122010006,3-5,850
2620260122010007,3-5,380
3120260121020001,3-7,170
3120260121020002,1-7,1410
3120260121020003,4-5,560
6120260122010001,3-7,120
6120260122010002,2-4,340
6120260122010003,2-7,120
6220260121020001,1-3,2120
6220260121020002,4-7,8610
6220260121020003,3-7,720
6220260121020004,1-3,320
6220260121020005,1-5,370
6220260121020006,5-7,2500
6220260121020007,1-2,2030
6220260121020008,2-7,700
6220260121020009,4-6,2180
6220260121020010,1-3,780
6220260121020011,1-5,680
6220260121020012,2-5,500
7320260120030001,2-3,1780
7320260120030002,2-7,2030
7320260120030003,3-4,320
7320260120030004,3-6,1400
7320260120030005,1-5,160
7320260120030006,1-4,260
7320260120030007,5-6,710
1320260122020001,1-2,320
1320260122020002,5-9,2040
1320260122020003,5-7,6220
1320260122020004,3-9,2570
1320260122020005,4-7,840
