race_id,settled,sanrentan_result,stake_total,payout_total,profit_total,hit_any,bankroll_after,drawdown
2220260307020009,False,,0,0,0,False,48600,0.0
2220260307020010,False,,0,0,0,False,48600,0.0
2220260307020011,False,,0,0,0,False,48600,0.0
2220260307030001,True,7-1-4,300,0,-300,False,48300,0.517
2220260307030002,True,2-1-7,100,0,-100,False,48200,0.518
2220260307030003,False,,0,0,0,False,48200,0.0
2220260307030004,False,,0,0,0,False,48200,0.0
2220260307030005,False,,0,0,0,False,48200,0.0
2220260307030006,False,,0,0,0,False,48200,0.0
2220260307030007,False,,0,0,0,False,48200,0.0
2220260307030008,False,,0,0,0,False,48200,0.0
2220260307030009,False,,0,0,0,False,48200,0.0
2220260307030010,False,,0,0,0,False,48200,0.0
2220260307030011,False,,0,0,0,False,48200,0.0
2220260320010001,True,3-5-4,100,0,-100,False,48100,0.519
2220260320010002,True,1-4-5,200,0,-200,False,47900,0.521
2220260320010003,True,1-4-7,100,0,-100,False,47800,0.522
2220260320010004,False,,0,0,0,False,47800,0.0
2220260320010005,False,,0,0,0,False,47800,0.0
2220260320010006,False,,0,0,0,False,47800,0.0
2220260320010007,False,,0,0,0,False,47800,0.0
2220260320010008,False,,0,0,0,False,47800,0.0
2220260320010009,False,,0,0,0,False,47800,0.0
2220260320010010,False,,0,0,0,False,47800,0.0
2220260320010011,False,,0,0,0,False,47800,0.0
2220260320010012,False,,0,0,0,False,47800,0.0
2220260320020001,True,1-2-6,100,0,-100,False,47700,0.523
2220260320020002,True,3-6-5,400,0,-400,False,47300,0.527
2220260320020003,True,5-1-7,200,0,-200,False,47100,0.529
2220260320020004,False,,0,0,0,False,47100,0.0
2220260320020005,False,,0,0,0,False,47100,0.0
2220260320020006,False,,0,0,0,False,47100,0.0
2220260320020007,False,,0,0,0,False,47100,0.0
2220260320020008,False,,0,0,0,False,47100,0.0
2220260320020009,False,,0,0,0,False,47100,0.0
2220260320020010,False,,0,0,0,False,47100,0.0
2220260320020011,False,,0,0,0,False,47100,0.0
2220260320020012,False,,0,0,0,False,47100,0.0
2220260320030001,True,3-5-1,100,0,-100,False,47000,0.53
2220260320030002,True,6-5-4,0,0,0,False,47000,0.53
2220260320030003,True,1-7-4,200,0,-200,False,46800,0.532
2220260320030004,False,,0,0,0,False,46800,0.0
2220260320030005,False,,0,0,0,False,46800,0.0
2220260320030006,False,,0,0,0,False,46800,0.0
2220260320030007,False,,0,0,0,False,46800,0.0
2220260320030008,False,,0,0,0,False,46800,0.0
2220260320030009,False,,0,0,0,False,46800,0.0
2220260320030010,False,,0,0,0,False,46800,0.0
2220260320030011,False,,0,0,0,False,46800,0.0
2220260320030012,False,,0,0,0,False,46800,0.0
2220260405010001,True,2-5-1,400,0,-400,False,46400,0.536
2220260405010002,True,7-5-1,200,0,-200,False,46200,0.538
2220260405010003,False,,0,0,0,False,46200,0.0
2220260405010004,False,,0,0,0,False,46200,0.0
2220260405010005,False,,0,0,0,False,46200,0.0
2220260405010006,False,,0,0,0,False,46200,0.0
2220260405010007,False,,0,0,0,False,46200,0.0
2220260405010008,False,,0,0,0,False,46200,0.0
2220260405010009,False,,0,0,0,False,46200,0.0
2220260405010010,False,,0,0,0,False,46200,0.0
2220260405010011,False,,0,0,0,False,46200,0.0
2220260405010012,False,,0,0,0,False,46200,0.0
2220260526010001,True,7-2-1,100,0,-100,False,46100,0.539
2220260526010002,True,7-5-1,100,0,-100,False,46000,0.54
2220260526010003,True,1-3-4,200,0,-200,False,45800,0.542
2220260526010004,False,,0,0,0,False,45800,0.0
2220260526010005,False,,0,0,0,False,45800,0.0
2220260526010006,False,,0,0,0,False,45800,0.0
2220260526010007,False,,0,0,0,False,45800,0.0
2220260526010008,False,,0,0,0,False,45800,0.0
2220260526010009,False,,0,0,0,False,45800,0.0
2220260526010010,False,,0,0,0,False,45800,0.0
2220260526010011,False,,0,0,0,False,45800,0.0
2220260526020001,True,1-3-4,300,0,-300,False,45500,0.545
2220260526020002,True,7-1-2,400,0,-400,False,45100,0.549
2220260526020003,True,5-2-6,200,0,-200,False,44900,0.551
2220260526020004,False,,0,0,0,False,44900,0.0
2220260526020005,False,,0,0,0,False,44900,0.0
2220260526020006,False,,0,0,0,False,44900,0.0
2220260526020007,False,,0,0,0,False,44900,0.0
2220260526020008,False,,0,0,0,False,44900,0.0
2220260526020009,False,,0,0,0,False,44900,0.0
2220260526020010,False,,0,0,0,False,44900,0.0
2220260526020011,False,,0,0,0,False,44900,0.0
2220260603020001,False,,0,0,0,False,44900,0.0
2220260603020002,False,,0,0,0,False,44900,0.0
2220260603020003,False,,0,0,0,False,44900,0.0
2220260603020004,False,,0,0,0,False,44900,0.0
2220260603020005,False,,0,0,0,False,44900,0.0
2220260603020006,False,,0,0,0,False,44900,0.0
2220260603020007,False,,0,0,0,False,44900,0.0
2320260225010001,True,3-2-6,100,0,-100,False,44800,0.552
2320260225010002,True,7-3-1,200,0,-200,False,44600,0.554
2320260225010003,True,5-1-7,400,0,-400,False,44200,0.558
2320260225010004,True,1-2-4,100,0,-100,False,44100,0.559
2320260225010005,True,4-6-2,0,0,0,False,44100,0.559
2320260225010006,True,7-3-1,100,0,-100,False,44000,0.56
2320260225010007,True,2-7-5,100,0,-100,False,43900,0.561
2320260225010008,True,1-2-5,100,0,-100,False,43800,0.562
2320260225010009,True,3-2-4,0,0,0,False,43800,0.562
2320260225010010,True,1-4-7,300,0,-300,False,43500,0.565
2320260225010011,True,6-1-4,200,0,-200,False,43300,0.567
2320260225020001,True,3-5-1,300,0,-300,False,43000,0.57
2320260225020002,True,4-1-5,200,0,-200,False,42800,0.572
2320260225020003,True,5-2-1,300,0,-300,False,42500,0.575
2320260225020004,True,3-4-1,300,0,-300,False,42200,0.578
2320260225020005,True,2-6-5,0,0,0,False,42200,0.578
2320260225020006,True,6-1-4,200,0,-200,False,42000,0.58
2320260225020007,True,7-3-5,300,0,-300,False,41700,0.583
2320260225020008,True,1-4-3,200,0,-200,False,41500,0.585
2320260225020009,True,4-3-1,0,0,0,False,41500,0.585
2320260225020010,True,5-2-3,300,0,-300,False,41200,0.588
2320260225020011,True,7-5-1,0,0,0,False,41200,0.588
2320260225030001,True,6-2-7,200,0,-200,False,41000,0.59
2320260225030002,True,5-3-6,300,0,-300,False,40700,0.593
2320260225030003,True,5-3-2,400,0,-400,False,40300,0.597
2320260225030004,True,6-2-7,0,0,0,False,40300,0.597
2320260225030005,True,1-5-4,400,0,-400,False,39900,0.601
2320260225030006,True,1-5-3,300,0,-300,False,39600,0.604
2320260225030007,True,1-7-3,0,0,0,False,39600,0.604
2320260225030008,True,4-5-7,0,0,0,False,39600,0.604
2320260225030009,True,1-4-7,0,0,0,False,39600,0.604
2320260225030010,True,4-5-2,0,0,0,False,39600,0.604
2320260225030011,True,7-1-5,0,0,0,False,39600,0.604
2320260312010001,True,7-2-9,0,0,0,False,39600,0.604
2320260312010002,True,2-8-7,0,0,0,False,39600,0.604
2320260312010003,True,9-7-2,0,0,0,False,39600,0.604
2320260312010004,True,1-9-3,0,0,0,False,39600,0.604
2320260312010005,True,9-1-5,0,0,0,False,39600,0.604
2320260312010006,True,8-3-5,100,0,-100,False,39500,0.605
2320260312010007,True,3-5-9,100,0,-100,False,39400,0.606
2320260312010008,True,6-4-9,0,0,0,False,39400,0.606
2320260312010009,True,7-3-1,0,0,0,False,39400,0.606
2320260312010010,True,3-5-9,100,0,-100,False,39300,0.607
2320260312010011,True,1-9-3,100,0,-100,False,39200,0.608
2320260312010012,True,5-9-7,0,0,0,False,39200,0.608
2320260312020001,True,9-2-6,100,0,-100,False,39100,0.609
2320260312020002,True,2-7-5,0,0,0,False,39100,0.609
2320260312020003,True,5-1-7,100,0,-100,False,39000,0.61
2320260312020004,True,7-2-6,100,0,-100,False,38900,0.611
2320260312020005,True,9-3-1,100,0,-100,False,38800,0.612
