race_id,競輪場,レース番号,開始時間,best_bet_distortion,best_odds_distortion,best_p_distortion,best_EV_distortion,market_prob,distortion_ratio,distortion_log,distortion_z,rank_gap,distortion_score
6220260228010002,広島競輪,2R,09:20,5-6,145.5,0.0449927139919665,5.546439885831125,0.00506369472486128,8.885352776536843,2.184404165571843,1.382711562490295,9.0,0.7045466714725908
2820260307020004,立川競輪,4R,09:52,3-5,91.1,0.043290156616921,2.9437332678015102,0.008144930021915128,5.3149820188912,1.670529628724026,1.3800354796478391,6.0,0.7036250220419733
5320260227020005,奈良競輪,5R,10:10,6-7,151.2,0.0487918472203666,6.377327299719429,0.004918863645650717,9.919333147929247,2.294485696066707,1.3385264963927932,6.0,0.7030111026841019
2620260304020002,西武園競輪,2R,11:31,6-7,138.6,0.0304075116481173,3.214481114429069,0.005376799649053413,5.655317963691511,1.7325963350214433,1.4404315745640213,5.0,0.7006316584378242
2220260307020005,前橋競輪,5R,17:36,1-6,325.1,0.038521027975995,11.523186194995976,0.002264800438196051,17.00857493195693,2.833717624673515,1.410715319043198,5.0,0.70030129716209
2220260307020003,前橋競輪,3R,16:46,1-7,301.1,0.0356944239075397,9.747591038560222,0.0024441311226037128,14.604136235911348,2.6813047924488984,1.3369351340027684,4.0,0.7002222566291111
3120260304020003,松戸競輪,3R,21:45,5-6,24.7,0.0804529510507723,0.9871878909540776,0.030120131271263836,2.671069070832952,0.9824787933465049,1.3784637466691325,7.0,0.6963374779517667
7520260305040012,松山競輪,12R,16:20,6-9,168.9,0.0313597215663957,4.296656972564245,0.0044040600952395354,7.120638883464058,1.9629974522538065,1.4559789743752354,18.0,0.6929278685348771
7520260305040001,松山競輪,1R,11:16,3-4,186.8,0.0218647574533616,3.0843366922879483,0.004006098705827316,5.457867879315856,1.6970582152444367,1.4145555665650345,17.0,0.6909858875707674
2720260301030003,京王閣競輪,3R,16:50,2-6,104.0,0.0523918258348861,4.448749886828157,0.007095659464744436,7.383644337473775,1.9992673294119407,1.2942155268261857,11.0,0.6886829924452825
2420260304030004,宇都宮競輪,4R,22:01,3-4,12.7,0.0458571491283025,-0.417614206070558,0.058495821727019504,0.7839388827037697,-0.2434242173836163,1.4818848743946231,1.0,0.6872395236620014
2620260304010003,西武園競輪,3R,11:59,6-7,197.3,0.0343355412849901,5.774402295528555,0.003771454053150214,9.104059281116339,2.20872038893807,1.4035093399866139,5.0,0.685820108928886
3620260303030002,小田原競輪,2R,09:20,5-6,219.4,0.0425768459064222,8.341359991869039,0.003369076230925522,12.637543046061719,2.536671990580831,1.3219153522361613,7.0,0.6844019175494807
7520260227020012,松山競輪,12R,20:30,4-5,85.2,0.0261665870500796,1.2293932166667858,0.00876687320719924,2.9847114733685474,1.093503083373008,1.5198522125201386,3.0,0.6837221943674807
