EV_MIN,odds_min,odds_max,ratio_min,rank_gap_min,bets,hits,hit_rate,stake,payout,ROI,mean_EV,mean_p,mean_odds
0,80,200,3.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
1,80,200,1.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
1,80,200,1.5,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
1,80,200,2.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
1,80,200,3.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
2,80,200,1.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
2,80,200,1.5,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
2,80,200,2.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
2,80,200,3.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
5,0,300,5.0,0,91,1,0.01098901098901099,9100,14550,1.598901098901099,7.1887597775130425,0.04716307103676306,187.38681318681324
5,20,300,5.0,0,91,1,0.01098901098901099,9100,14550,1.598901098901099,7.1887597775130425,0.04716307103676306,187.38681318681324
5,50,300,5.0,0,91,1,0.01098901098901099,9100,14550,1.598901098901099,7.1887597775130425,0.04716307103676306,187.38681318681324
5,80,300,1.0,0,91,1,0.01098901098901099,9100,14550,1.598901098901099,7.264952820185257,0.04680374733936324,189.46043956043957
5,80,300,1.5,0,91,1,0.01098901098901099,9100,14550,1.598901098901099,7.264952820185257,0.04680374733936324,189.46043956043957
5,80,300,2.0,0,91,1,0.01098901098901099,9100,14550,1.598901098901099,7.264952820185257,0.04680374733936324,189.46043956043957
5,80,300,3.0,0,91,1,0.01098901098901099,9100,14550,1.598901098901099,7.264952820185257,0.04680374733936324,189.46043956043957
5,80,500,5.0,5,91,1,0.01098901098901099,9100,14550,1.598901098901099,7.729507110685299,0.04627368428650318,208.74945054945056
5,0,300,1.0,0,92,1,0.010869565217391304,9200,14550,1.5815217391304348,7.243777655930422,0.047193718801350086,188.23152173913047
5,0,300,1.5,0,92,1,0.010869565217391304,9200,14550,1.5815217391304348,7.243777655930422,0.047193718801350086,188.23152173913047
5,0,300,2.0,0,92,1,0.010869565217391304,9200,14550,1.5815217391304348,7.243777655930422,0.047193718801350086,188.23152173913047
5,0,300,3.0,0,92,1,0.010869565217391304,9200,14550,1.5815217391304348,7.243777655930422,0.047193718801350086,188.23152173913047
5,0,500,5.0,5,92,1,0.010869565217391304,9200,14550,1.5815217391304348,7.7032824432728555,0.04666941730341242,207.31086956521744
5,20,300,1.0,0,92,1,0.010869565217391304,9200,14550,1.5815217391304348,7.243777655930422,0.047193718801350086,188.23152173913047
5,20,300,1.5,0,92,1,0.010869565217391304,9200,14550,1.5815217391304348,7.243777655930422,0.047193718801350086,188.23152173913047
